id, AccountGameNumber, SeasonGameNumber, Rank, Map, PlacementMatch, IfPlacementWLD, createdAt, updatedAt, GamertagId, SeasonNumber, UserUuid
44,1862,44,3111,King's Row,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
45,1863,45,3083,Dorado,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
46,1864,46,3106,Numbani,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
47,1865,47,3131,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
48,1866,48,3156,Hollywood,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
49,1867,49,3185,Horizon Lunar Colony,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
50,1868,50,3206,Route 66,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
51,1869,51,3231,Dorado,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
52,1870,52,3211,Horizon Lunar Colony,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
53,1871,53,3186,Nepal,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
54,1872,54,3211,Route 66,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
55,1873,55,3187,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
56,1874,56,3162,King's Row,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
57,1875,57,3187,Horizon Lunar Colony,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
58,1876,58,3164,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
59,1877,59,3187,Temple of Anubis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
60,1878,60,3163,Dorado,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
61,1879,61,3184,Temple of Anubis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
62,1880,62,3159,Route 66,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
63,1881,63,3136,Ilios,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
64,1882,64,3109,Volskaya Industries,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
65,1883,65,3138,Lijiang Tower,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
66,1884,66,3158,King's Row,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
67,1885,67,3133,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
68,1886,68,3109,Oasis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
69,1887,69,3140,Eichenwalde,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
70,1888,70,3163,Dorado,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
71,1889,71,3137,Dorado,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
72,1890,72,3137,King's Row,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
73,1891,73,3162,Lijiang Tower,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
74,1892,74,3138,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
75,1893,75,3161,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
76,1894,76,3135,Oasis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
77,1895,77,3162,Temple of Anubis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
78,1896,78,3185,Hollywood,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
79,1897,79,3207,Eichenwalde,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
80,1898,80,3234,Numbani,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
81,1899,81,3251,Nepal,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
82,1900,82,3227,Ilios,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
83,1901,83,3200,Route 66,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
84,1902,84,3176,Eichenwalde,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
85,1903,85,3194,Lijiang Tower,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
86,1904,86,3167,Volskaya Industries,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
87,1905,87,3142,Oasis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
88,1906,88,3165,Horizon Lunar Colony,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
89,1907,89,3165,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
90,1908,90,3138,Temple of Anubis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
91,1909,91,3162,King's Row,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
92,1910,92,3135,Dorado,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
93,1911,93,3156,Nepal,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
94,1912,94,3175,Volskaya Industries,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
95,1913,95,3143,Lijiang Tower,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
96,1914,96,3120,Route 66,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
97,1915,97,3093,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
98,1916,98,3113,Eichenwalde,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
99,1917,99,3113,Numbani,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
100,1918,100,3128,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
101,1919,101,3102,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
102,1920,102,3079,Oasis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
103,1921,103,3100,Hollywood,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
104,1922,104,3073,Ilios,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
105,1923,105,3090,Nepal,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
106,1924,106,3064,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
107,1925,107,3085,Volskaya Industries,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
108,1926,108,3106,Hollywood,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
109,1927,109,3082,Route 66,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
110,1928,110,3056,Dorado,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
111,1929,111,3075,Ilios,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
112,1930,112,3046,Lijiang Tower,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
113,1931,113,3017,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
114,1932,114,3041,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
115,1933,115,3067,Eichenwalde,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
116,1934,116,3087,King's Row,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
117,1935,117,3110,Lijiang Tower,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
118,1936,118,3087,Route 66,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
119,1937,119,3061,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
120,1938,120,3036,Dorado,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
121,1939,121,3055,Temple of Anubis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
122,1940,122,3078,Hollywood,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
123,1941,123,3100,Junkertown,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
124,1942,124,3074,Oasis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
125,1943,125,3048,Dorado,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
126,1944,126,3071,Numbani,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
127,1945,127,3092,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
128,1946,128,3114,King's Row,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
129,1947,129,3085,Route 66,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
130,1948,130,3060,Volskaya Industries,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
131,1949,131,3060,Horizon Lunar Colony,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
132,1950,132,3036,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
133,1951,133,3012,Junkertown,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
134,1952,134,2983,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
135,1953,135,2951,Lijiang Tower,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
136,1954,136,2921,Ilios,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
137,1955,137,2898,King's Row,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
138,1956,138,2923,Oasis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
139,1957,139,2899,Numbani,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
140,1958,140,2871,Hollywood,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
141,1959,141,2848,Nepal,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
142,1960,142,2866,Horizon Lunar Colony,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
143,1961,143,2891,Ilios,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
144,1962,144,2913,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
145,1963,145,2913,Hollywood,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
146,1964,146,2939,Temple of Anubis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
147,1965,147,2965,Numbani,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
148,1966,148,2939,Horizon Lunar Colony,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
149,1967,149,2914,Junkertown,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
150,1968,150,2937,Route 66,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
151,1969,151,2961,Volskaya Industries,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
152,1970,152,2984,Hollywood,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
153,1971,153,2958,Dorado,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
154,1972,154,2958,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
155,1973,155,2979,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
156,1974,156,3004,Lijiang Tower,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
157,1975,157,2977,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
158,1976,158,2950,Route 66,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
159,1977,159,2927,Volskaya Industries,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
160,1978,160,2952,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
161,1979,161,2975,Numbani,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
162,1980,162,2951,Horizon Lunar Colony,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
163,1981,163,2933,Dorado,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
164,1982,164,2910,Junkertown,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
165,1983,165,2934,Oasis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
166,1984,166,2955,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
167,1985,167,2977,King's Row,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
168,1986,168,2953,Horizon Lunar Colony,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
169,1987,169,2932,Route 66,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
170,1988,170,2950,Nepal,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
171,1989,171,2971,Junkertown,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
172,1990,172,2993,Hollywood,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
173,1991,173,3012,Temple of Anubis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
174,1992,174,3031,Oasis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
175,1993,175,3007,Lijiang Tower,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
176,1994,176,2983,Eichenwalde,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
177,1995,177,3002,Volskaya Industries,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
178,1996,178,3023,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
179,1997,179,2996,Numbani,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
180,1998,180,3020,Nepal,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
181,1999,181,3020,Horizon Lunar Colony,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
182,2000,182,3042,Watchpoint: Gibraltar,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
183,2001,183,3017,Lijiang Tower,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
184,2002,184,3037,Route 66,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
185,2003,185,3058,Volskaya Industries,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
186,2004,186,3087,Oasis,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
187,2005,187,3113,Eichenwalde,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
188,2006,188,3113,Numbani,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
189,2007,189,3088,King's Row,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
190,2008,190,3113,Hanamura,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
191,2009,191,3139,Ilios,0,,1000-01-01 00:00:00,1000-01-01 00:00:00,1,6,92323138-f458-417b-894a-63363bb88fe2
